Price,Close,High,Low,Open,Volume
Ticker,META,META,META,META,META
Date,,,,,
2015-06-16,80.56334686279297,81.01059428408466,79.95708369676282,80.3248194543605,13693700
2015-06-17,81.28887939453125,81.71624511840679,80.84163196294999,81.25906441562246,18350300
2015-06-18,82.40200805664062,82.6802912631099,81.07021439084654,81.13978519246386,26782600
2015-06-19,82.00447082519531,82.47159239098221,81.61686092648915,82.32250991086832,23353200
2015-06-22,84.22079467773438,84.44938880079106,82.7995560050013,82.89894936968194,29383100
2015-06-23,87.341552734375,87.43100524348547,84.2406739613249,84.43944551967209,50667900
2015-06-24,88.31556701660156,88.70317693103271,86.91420226238877,87.12292229260575,41370200
2015-06-25,87.44095611572266,88.85225405659013,87.30180690975635,88.71311243327361,27302000
2015-06-26,87.47077941894531,87.79875180074649,86.2980087803473,87.58010607376254,38214600
2015-06-29,85.27430725097656,86.96388833412266,85.20473644361523,86.07934196225038,35957900
2015-06-30,85.2444839477539,86.16878614186355,85.04571238064077,86.06940035830698,23016500
2015-07-01,86.37751770019531,87.4111390866386,85.96008522117562,86.23836848542192,25260000
2015-07-02,86.75518798828125,86.90427047699318,85.81100394820592,86.86451464115997,16908800
2015-07-06,87.01358795166016,87.64966609259707,85.86069158205603,85.96007736983063,24635900
2015-07-07,86.68561553955078,87.31175288117467,84.70781013564182,87.26206377430623,33059900
2015-07-08,85.12522888183594,86.2184877284331,84.92644972076847,85.76130703195246,24399300
2015-07-09,85.35380554199219,87.06326821571206,85.12521901158127,86.19860360893776,23307400
2015-07-10,87.4111328125,87.6794827856548,86.23836229546166,86.81481049153892,23245900
2015-07-13,89.5479736328125,89.66724114633948,87.87826635668854,88.1168013837425,29976700
2015-07-14,89.13053894042969,90.24367953005853,89.10072396097846,89.90575873676141,26627800
2015-07-15,89.21004486083984,90.43250443549387,88.87212408931026,89.44857226373463,30886600
2015-07-16,90.29337310791016,90.30331396243632,89.21998829859258,89.72686572232315,21804100
2015-07-17,94.38813018798828,94.80555507310542,91.97301823459618,91.9829590888085,54001600
2015-07-20,97.31011199951172,97.99587923395751,94.77573274014622,95.26272840166705,54860500
2015-07-21,97.78717041015625,98.63196100018442,96.54482907698255,98.34373690097016,39453300
2015-07-22,96.44544219970703,96.98213455950633,95.33230164797703,96.14727725004643,28299500
2015-07-23,94.85525512695312,96.85293468345512,94.22911019441193,96.36593896687332,29418800
2015-07-24,96.35599517822266,97.1610375551688,95.29255125165685,96.75354593956457,33444900
2015-07-27,93.59302520751953,96.01807792542702,93.2551120032995,95.98826294654287,38585400
2015-07-28,94.70616912841797,94.97451153052394,92.73829704325743,94.25892168137464,35236000
2015-07-29,96.395751953125,96.68397606834374,94.15953742924005,95.72985878140419,64648300
2015-07-30,94.62664794921875,95.22297023602344,91.23754494324504,94.32849059714104,86211300
2015-07-31,93.43402099609375,95.73980650052357,93.37438344831189,94.36825664130149,46509000
2015-08-03,93.56321716308594,94.49746034482952,92.23143078989008,92.95695393867578,29343100
2015-08-04,93.48369598388672,94.14959668540891,92.75817290889103,93.21535359868341,20136000
2015-08-05,95.84911346435547,96.49512484094292,94.59683137535137,94.66640218125998,29813200
2015-08-06,94.53721618652344,98.13503211488779,93.841500436137,96.58459243670427,42271300
2015-08-07,93.72223663330078,94.81549552992311,93.0364617658754,94.79561382158178,23199100
2015-08-10,93.57315063476562,95.31242849941685,93.05633239441399,95.0937752117796,21624200
2015-08-11,93.04640197753906,94.17941670037028,92.33081213519303,93.15572862471137,22491000
2015-08-12,93.6129150390625,93.86138332819249,90.63129556950264,92.13203857633947,27050500
2015-08-13,92.85755920410156,94.14959719992534,92.77804754040326,93.47376322378898,17451800
2015-08-14,93.84149169921875,94.13965664771725,92.63890621686753,92.96688614368594,15929700
2015-08-17,93.35449981689453,93.88125134232914,92.81780743739985,93.8414955087388,18313500
2015-08-18,94.5868911743164,95.2627251146511,93.46381741900768,93.50357324875081,22278800
2015-08-19,94.7260513305664,95.51121206073464,93.58310322796838,94.05021725793114,23251300
2015-08-20,90.00513458251953,94.18933891562011,89.90574880111542,92.96687939731625,44598200
2015-08-21,85.53271484375,88.63360158329964,85.08547499078172,86.9837686307236,62778700
2015-08-24,81.5870361328125,81.5870361328125,71.55886056302685,76.55804085858102,83710700
2015-08-25,82.49147033691406,87.13285606495015,82.49147033691406,86.41726619338179,52021200
2015-08-26,86.65579986572266,86.9241422720863,82.74987819601742,85.42339173590028,45124300
2015-08-27,89.18023681640625,89.50820917739046,86.65579822634446,88.5540919089864,42431400
2015-08-28,90.452392578125,90.91951414640714,89.23986618794156,89.32931112689774,33215900
2015-08-31,88.8820571899414,90.49213408000303,88.34536489325421,90.04488670810598,32850700
2015-09-01,86.69554901123047,88.84231084445018,85.97001835235346,86.31787240141111,36097400
2015-09-02,89.3392562866211,89.3392562866211,87.09310085856515,88.26587147151645,27190500
2015-09-03,87.60990905761719,89.26967519686941,87.19248420510755,89.2100452415536,27048200
2015-09-04,87.71923828125,87.84843904912306,86.1687911535249,86.66572768285928,27328700
2015-09-08,88.98145294189453,89.68710189738631,88.28574484004336,89.140476269546,27012500
2015-09-09,89.8858871459961,91.41645265640177,89.61753715806809,90.22380036617196,32551100
2015-09-10,91.41645050048828,91.4959545851752,89.08084266403034,89.5181492517331,26437400
2015-09-11,91.48601531982422,91.51583029745966,90.57164637065732,91.1182795694718,21185000
2015-09-14,91.74442291259766,92.05252872804677,91.03877392553025,91.74442291259766,20127900
2015-09-15,92.33080291748047,92.67865694982396,91.22760328444167,91.80405144241044,18859400
